vin,brand,model_name,model_year,model_trim,vehicle_type,body_style,vehicle_segment,vehicle_category,t1_2_program_flag,build_date
1GC702832595213,Chevrolet,Silverado 2500HD,2026,Elevation,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-01-03
1GC493436726984,Chevrolet,Silverado 1500,2024,LT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-10-11
1GC849410376451,Chevrolet,Silverado 2500HD,2024,WT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-06-21
1GC730238591801,GMC,Sierra 2500HD,2025,Denali,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-01-06
1GC381129977243,Chevrolet,Silverado 1500,2025,LTZ,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-09-29
1GC849033821254,GMC,Sierra 1500,2026,WT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-10-21
1GC824287921746,Chevrolet,Colorado,2024,Custom,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-11-06
1GC448730541126,Chevrolet,Silverado 2500HD,2026,Custom,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-08-22
1GC359495293536,Chevrolet,Silverado 2500HD,2026,Elevation,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-08-08
1GC714245953576,GMC,Sierra 1500,2026,LTZ,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-08-26
1GC225777235248,GMC,Sierra 2500HD,2025,Custom,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-01-26
1GC279917382227,Chevrolet,Colorado,2025,RST,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-05-15
1GC106626042775,Chevrolet,Silverado 1500,2025,High Country,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-04-11
1GC808231939751,GMC,Canyon,2025,Elevation,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-03-17
1GC698365770932,Chevrolet,Silverado 1500,2025,LTZ,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-06-18
1GC734648840762,GMC,Sierra 2500HD,2025,RST,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-05-13
1GC802656127918,GMC,Sierra 2500HD,2025,WT,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-05-15
1GC513024197984,GMC,Sierra 1500,2026,WT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-07-16
1GC611867076357,Chevrolet,Colorado,2025,Denali,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-08-27
1GC225817298314,Chevrolet,Silverado 1500,2026,LT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-02-07
1GC203077066182,GMC,Sierra 1500,2025,WT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-01-23
1GC701562665610,GMC,Sierra 1500,2026,RST,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-03-12
1GC523986585528,Chevrolet,Silverado 1500,2026,LT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-05-22
1GC608712495832,Chevrolet,Colorado,2025,High Country,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-03-29
1GC788498971673,GMC,Sierra 1500,2024,Custom,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-06-13
1GC671246487999,Chevrolet,Silverado 1500,2024,Denali,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-05-03
1GC598221460591,Chevrolet,Silverado 1500,2025,RST,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-08-07
1GC603286444670,Chevrolet,Silverado 2500HD,2026,High Country,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-03-06
1GC373555088256,Chevrolet,Silverado 1500,2025,LTZ,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-07-03
1GC127736051111,Chevrolet,Silverado 1500,2025,AT4,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-04-04
1GC493045650308,GMC,Canyon,2025,Elevation,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-02-16
1GC293126205537,GMC,Sierra 1500,2025,AT4,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2025-11-02
1GC467675779351,GMC,Sierra 2500HD,2025,Custom,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-08-06
1GC868062765940,Chevrolet,Colorado,2026,LTZ,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-07-27
1GC310545537278,GMC,Sierra 2500HD,2024,LTZ,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2024-03-26
1GC152472467520,GMC,Canyon,2025,LT,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2024-06-01
1GC353245502819,GMC,Sierra 2500HD,2025,RST,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-05-04
1GC364234381989,GMC,Sierra 2500HD,2026,Denali,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-08-03
1GC695724863253,Chevrolet,Colorado,2025,Custom,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-09-22
1GC601328937106,Chevrolet,Silverado 1500,2024,LTZ,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-02-09
1GC805508388194,Chevrolet,Silverado 1500,2025,RST,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2024-11-15
1GC697882186293,GMC,Sierra 2500HD,2025,RST,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-09-20
1GC465748175295,Chevrolet,Silverado 1500,2025,WT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-07-23
1GC832618346198,Chevrolet,Colorado,2026,Elevation,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-09-09
1GC250275627916,Chevrolet,Silverado 2500HD,2024,LT,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-11-25
1GC120440865820,GMC,Canyon,2025,Elevation,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-12-15
1GC181043074697,Chevrolet,Colorado,2026,Denali,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-03-05
1GC750123415536,GMC,Canyon,2025,Denali,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-11-10
1GC515689507225,Chevrolet,Colorado,2025,LTZ,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-08-03
1GC245144601130,GMC,Canyon,2025,Custom,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-06-22
1GC550940297592,GMC,Canyon,2024,LT,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-07-24
1GC237080892441,GMC,Sierra 2500HD,2026,Elevation,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-07-21
1GC726688337569,Chevrolet,Silverado 2500HD,2024,AT4,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-09-02
1GC501540648016,GMC,Sierra 1500,2026,High Country,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-03-31
1GC442919103486,Chevrolet,Silverado 2500HD,2026,RST,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-03-07
1GC371360880232,Chevrolet,Silverado 2500HD,2024,High Country,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-09-15
1GC667254333806,GMC,Sierra 1500,2024,Elevation,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-07-21
1GC425631349497,Chevrolet,Colorado,2026,AT4,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-01-04
1GC178884927384,Chevrolet,Silverado 2500HD,2024,AT4,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2024-01-04
1GC206205311908,GMC,Sierra 2500HD,2026,AT4,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-07-29
1GC965707898093,Chevrolet,Silverado 2500HD,2024,WT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-09-12
1GC917722621635,Chevrolet,Colorado,2026,WT,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-09-09
1GC729736420428,Chevrolet,Colorado,2026,LT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-05-24
1GC339282965313,Chevrolet,Colorado,2024,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-05-24
1GC972258739611,GMC,Sierra 1500,2026,Custom,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-01-03
1GC800875813568,Chevrolet,Silverado 2500HD,2026,AT4,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-08-16
1GC745201170242,Chevrolet,Colorado,2024,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-06-20
1GC504425351928,Chevrolet,Colorado,2026,WT,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-07-01
1GC345017405660,GMC,Sierra 1500,2024,Elevation,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-03-22
1GC186751865938,GMC,Sierra 1500,2024,AT4,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-12-01
1GC912342156888,Chevrolet,Silverado 2500HD,2024,LT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-06-01
1GC510198660849,GMC,Sierra 2500HD,2024,LTZ,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-03-08
1GC282127028315,GMC,Sierra 2500HD,2026,RST,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2024-11-30
1GC375360961735,GMC,Sierra 1500,2025,Denali,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-06-30
1GC621297612047,Chevrolet,Silverado 2500HD,2025,LTZ,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-11-21
1GC259095504645,Chevrolet,Colorado,2026,RST,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2024-11-19
1GC870952855682,GMC,Canyon,2024,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-11-17
1GC782667576850,GMC,Sierra 1500,2025,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-04-04
1GC747516660355,Chevrolet,Silverado 2500HD,2024,High Country,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-03-28
1GC488883735797,GMC,Canyon,2025,Elevation,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-07-27
1GC664577956631,GMC,Sierra 2500HD,2025,LTZ,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-03-22
1GC625688172020,GMC,Sierra 1500,2025,Elevation,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-11-23
1GC684861941398,GMC,Sierra 2500HD,2025,Elevation,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-03-05
1GC175999889025,GMC,Sierra 1500,2025,High Country,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-04-17
1GC474226661953,Chevrolet,Silverado 2500HD,2025,WT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-06-13
1GC137452756475,Chevrolet,Colorado,2026,Denali,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-03-04
1GC544591737319,GMC,Sierra 2500HD,2025,Denali,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-04-21
1GC396875091099,GMC,Sierra 2500HD,2025,Custom,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-01-21
1GC230071769979,Chevrolet,Colorado,2025,WT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-04-01
1GC193062670950,Chevrolet,Silverado 1500,2026,Custom,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-04-03
1GC628880114959,GMC,Sierra 2500HD,2025,Denali,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-11-03
1GC253533671683,GMC,Canyon,2026,WT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-01-14
1GC932608106538,GMC,Canyon,2025,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-09-03
1GC622955025729,Chevrolet,Silverado 1500,2024,WT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-08-22
1GC412182824081,GMC,Sierra 1500,2025,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-02-10
1GC631823942332,GMC,Sierra 1500,2024,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-02-18
1GC120523483926,GMC,Sierra 1500,2024,Elevation,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-06-26
1GC962703291916,GMC,Sierra 1500,2026,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-06-01
1GC534073093248,GMC,Sierra 2500HD,2025,Custom,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-04-22
1GC804461704524,GMC,Sierra 2500HD,2025,Elevation,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-02-25
1GC174456999930,Chevrolet,Silverado 2500HD,2026,High Country,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-12-27
1GC537992497753,Chevrolet,Colorado,2026,WT,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2025-07-03
1GC541636294918,Chevrolet,Silverado 2500HD,2025,Elevation,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-10-10
1GC944043809476,GMC,Canyon,2024,Denali,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-12-06
1GC614555247137,GMC,Sierra 2500HD,2024,High Country,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-04-29
1GC526140460950,GMC,Canyon,2026,Denali,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-05-26
1GC340278096782,Chevrolet,Silverado 2500HD,2026,Custom,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-09-04
1GC398412097607,Chevrolet,Silverado 2500HD,2025,Elevation,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-08-27
1GC568605162223,GMC,Sierra 1500,2026,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-02-28
1GC495020314274,GMC,Sierra 1500,2025,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-08-11
1GC119450871892,GMC,Sierra 2500HD,2026,Denali,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-05-12
1GC843662731774,Chevrolet,Silverado 2500HD,2024,Elevation,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-05-21
1GC906544694654,Chevrolet,Silverado 1500,2025,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-12-23
1GC226224180098,GMC,Canyon,2024,LTZ,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-09-05
1GC598632529184,GMC,Sierra 1500,2025,Denali,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-09-07
1GC197718167021,Chevrolet,Silverado 1500,2026,LTZ,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-03-24
1GC705016083735,Chevrolet,Silverado 2500HD,2025,LTZ,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-02-12
1GC353110405454,GMC,Sierra 2500HD,2025,High Country,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-08-29
1GC693480371222,Chevrolet,Colorado,2026,RST,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-12-18
1GC754295152857,Chevrolet,Silverado 2500HD,2025,Denali,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-08-10
1GC791782742725,GMC,Sierra 1500,2026,LT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-03-04
1GC196966851360,Chevrolet,Colorado,2025,Denali,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-01-12
1GC924410660622,GMC,Canyon,2025,LT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-03-17
1GC307192591805,GMC,Canyon,2025,AT4,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-01-07
1GC133671300558,GMC,Canyon,2024,Denali,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-09-04
1GC599367222451,Chevrolet,Colorado,2026,LTZ,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-11-02
1GC433830055475,GMC,Sierra 1500,2025,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-08-12
1GC846810768818,Chevrolet,Silverado 1500,2025,High Country,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2025-01-18
1GC827426324857,GMC,Sierra 2500HD,2026,LT,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2025-04-07
1GC385425003540,Chevrolet,Silverado 1500,2025,LT,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2025-04-20
1GC957609455561,Chevrolet,Silverado 2500HD,2026,LT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-10-21
1GC361826054325,GMC,Sierra 2500HD,2026,WT,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2024-02-24
1GC563551416308,Chevrolet,Silverado 2500HD,2026,High Country,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-03-24
1GC330368581510,GMC,Sierra 2500HD,2025,LTZ,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2024-10-31
1GC942439213043,Chevrolet,Silverado 1500,2026,AT4,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-12-08
1GC248147035823,GMC,Sierra 1500,2026,AT4,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-04-10
1GC140419557453,GMC,Sierra 2500HD,2024,RST,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-09-09
1GC491587354002,GMC,Canyon,2026,LT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-09-30
1GC993138007649,GMC,Sierra 2500HD,2025,WT,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2025-12-20
1GC902509539628,Chevrolet,Silverado 2500HD,2025,High Country,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2025-04-19
1GC773747217510,Chevrolet,Colorado,2025,High Country,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-03-02
