individual_id,loyalty_status,loyalty_points,first_purchase_date,is_current_customer
IND100136,Bronze,6463,2019-11-11,Y
IND100137,Silver,3282,2023-06-27,Y
IND100138,None,22183,2021-03-27,Y
IND100139,Gold,23493,2024-11-21,Y
IND100140,Silver,4304,2019-11-20,Y
IND100141,None,7013,2020-12-09,Y
IND100142,Platinum,18538,2020-05-21,Y
IND100143,Silver,19227,2025-07-10,Y
IND100144,None,7692,2023-04-13,Y
IND100145,Platinum,12987,2021-09-26,Y
IND100146,None,13480,2021-09-27,N
IND100147,Silver,9064,2022-01-14,N
IND100148,Gold,8203,2021-03-16,Y
IND100149,Bronze,11069,2023-04-30,Y
