response_id,individual_id,vin,survey_type,survey_date,nps_score,nps_category,csat_score,verbatim_text,dealer_id,region,region_scope
RSPUS700122,IND100017,1GC157435530493,Dealership,2026-06-26,6,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1082,Southwest,US
RSPUS700123,IND100118,1GC488883735797,Service,2026-03-22,6,Detractor,5,Wifi drops constantly on the highway. Third call to support this month.,DLR1170,Southwest,US
RSPUS700124,IND100076,1GC364234381989,Service,2026-02-03,10,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1054,Southeast,US
RSPUS700125,IND100015,1GC433830055475,Dealership,2026-03-18,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1010,Northeast,US
RSPUS700126,IND100075,1GC353245502819,Dealership,2026-03-09,6,Detractor,4,Hotspot data will not share to my other devices. Support could not fix it.,DLR1100,Northeast,US
RSPUS700127,IND100138,1GC804461704524,Service,2026-03-05,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1096,Southeast,US
RSPUS700128,IND100148,1GC495020314274,Sales,2026-05-01,6,Detractor,4,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1193,Southeast,US
RSPUS700129,IND100089,1GC550940297592,Service,2026-06-24,10,Promoter,4,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1185,Southeast,US
RSPUS700130,IND100094,1GC371360880232,Dealership,2026-02-10,5,Detractor,5,Had to replace the connectivity module twice. Nobody explained why.,DLR1163,Southeast,US
RSPUS700131,IND100056,1GC513024197984,Sales,2026-02-17,10,Promoter,5,Truck has been flawless. The app connects instantly every time.,DLR1070,Northeast,US
RSPUS700132,IND100101,1GC729736420428,Dealership,2026-02-16,9,Promoter,3,Hotspot works better than my home internet on job sites.,DLR1011,Southwest,US
RSPUS700133,IND100032,1GC393242822324,Dealership,2026-05-27,2,Detractor,4,Waited three weeks for a part. Zero communication from the dealer.,DLR1058,Southwest,US
RSPUS700134,IND100046,1GC448730541126,Service,2026-03-10,9,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1023,West,US
RSPUS700135,IND100047,1GC359495293536,Sales,2026-06-11,5,Detractor,4,Hotspot data will not share to my other devices. Support could not fix it.,DLR1024,Midwest,US
RSPUS700136,IND100105,1GC745201170242,Service,2026-03-30,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1088,Northeast,US
RSPUS700137,IND100128,1GC193062670950,Service,2026-01-19,10,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1062,Midwest,US
RSPUS700138,IND100007,1GC693480371222,Service,2026-05-19,8,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1184,Northeast,US
RSPUS700139,IND100011,1GC924410660622,Service,2026-01-21,10,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1068,Northeast,US
RSPUS700140,IND100056,1GC513024197984,Sales,2026-05-03,7,Passive,4,No complaints about the truck. The app is average.,DLR1090,Southwest,US
RSPUS700141,IND100055,1GC802656127918,Service,2026-02-04,10,Promoter,4,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1095,Midwest,US
RSPUS700142,IND100126,1GC396875091099,Dealership,2026-04-17,2,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1007,Northeast,US
RSPUS700143,IND100018,1GC844868054792,Service,2026-03-03,9,Promoter,2,Whole buying process took under two hours. No pressure at all.,DLR1159,West,US
RSPUS700144,IND100020,1GC361826054325,Dealership,2026-03-14,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1175,West,US
RSPUS700145,IND100003,1GC598632529184,Service,2026-02-27,7,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1093,Northeast,US
RSPUS700146,IND100053,1GC698365770932,Service,2026-03-26,2,Detractor,4,Waited three weeks for a part. Zero communication from the dealer.,DLR1073,Southeast,US
RSPUS700147,IND100119,1GC664577956631,Dealership,2026-03-11,5,Detractor,4,Waited three weeks for a part. Zero communication from the dealer.,DLR1061,Southwest,US
RSPUS700148,IND100112,1GC375360961735,Service,2026-02-14,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1069,Northeast,US
RSPUS700149,IND100029,1GC773747217510,Dealership,2026-05-19,7,Passive,5,Vehicle is fine. Setup took longer than expected but got there.,DLR1053,Midwest,US
RSPUS700150,IND100023,1GC942439213043,Dealership,2026-01-23,8,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1181,West,US
RSPUS700151,IND100063,1GC788498971673,Sales,2026-01-11,8,Passive,5,Vehicle is fine. Setup took longer than expected but got there.,DLR1107,Northeast,US
RSPUS700152,IND100027,1GC993138007649,Service,2026-01-04,8,Passive,3,Service was completed on time. Nothing exceptional either way.,DLR1018,Southwest,US
RSPUS700153,IND100005,1GC978060116472,Dealership,2026-01-23,9,Promoter,4,Whole buying process took under two hours. No pressure at all.,DLR1016,West,US
RSPUS700154,IND100130,1GC253533671683,Service,2026-04-18,10,Promoter,3,Truck has been flawless. The app connects instantly every time.,DLR1125,Midwest,US
RSPUS700155,IND100080,1GC697882186293,Service,2026-05-16,10,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1008,Southwest,US
RSPUS700156,IND100006,1GC785025731790,Sales,2026-05-08,8,Passive,5,No complaints about the truck. The app is average.,DLR1043,West,US
RSPUS700157,IND100135,1GC120523483926,Sales,2026-04-27,8,Passive,3,Service was completed on time. Nothing exceptional either way.,DLR1179,Midwest,US
RSPUS700158,IND100061,1GC523986585528,Dealership,2026-02-25,9,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1040,Northeast,US
RSPUS700159,IND100089,1GC550940297592,Service,2026-06-09,9,Promoter,3,Hotspot works better than my home internet on job sites.,DLR1055,Midwest,US
RSPUS700160,IND100052,1GC808231939751,Service,2026-01-30,10,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1141,Southeast,US
RSPUS700161,IND100038,1GC304218414145,Dealership,2026-02-25,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1014,West,US
RSPUS700162,IND100131,1GC932608106538,Service,2026-06-11,1,Detractor,5,Had to replace the connectivity module twice. Nobody explained why.,DLR1000,Midwest,US
RSPUS700163,IND100027,1GC993138007649,Dealership,2026-06-20,9,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1048,Southeast,US
RSPUS700164,IND100087,1GC515689507225,Service,2026-01-17,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1064,Northeast,US
RSPUS700165,IND100100,1GC917722621635,Dealership,2026-03-19,8,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1123,Southwest,US
RSPUS700166,IND100029,1GC773747217510,Dealership,2026-03-12,3,Detractor,4,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1076,Southeast,US
RSPUS700167,IND100137,1GC534073093248,Sales,2026-03-05,6,Detractor,5,Hotspot data will not share to my other devices. Support could not fix it.,DLR1020,West,US
RSPUS700168,IND100137,1GC534073093248,Dealership,2026-04-21,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1183,Southwest,US
RSPUS700169,IND100021,1GC563551416308,Service,2026-01-13,7,Passive,5,No complaints about the truck. The app is average.,DLR1058,Northeast,US
RSPUS700170,IND100047,1GC359495293536,Sales,2026-03-01,10,Promoter,5,Service advisor called me proactively about the software update. Impressed.,DLR1041,Southeast,US
RSPUS700171,IND100023,1GC903809009189,Sales,2026-04-14,8,Passive,5,No complaints about the truck. The app is average.,DLR1031,Southwest,US
RSPUS700172,IND100067,1GC373555088256,Sales,2026-02-25,10,Promoter,5,Truck has been flawless. The app connects instantly every time.,DLR1027,Southeast,US
RSPUS700173,IND100017,1GC157435530493,Sales,2026-05-05,10,Promoter,5,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1111,Midwest,US
RSPUS700174,IND100102,1GC339282965313,Dealership,2026-02-28,2,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1034,West,US
RSPUS700175,IND100093,1GC442919103486,Dealership,2026-05-12,6,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1000,Northeast,US
RSPUS700176,IND100011,1GC934088489962,Sales,2026-05-08,10,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1167,West,US
RSPUS700177,IND100054,1GC734648840762,Sales,2026-01-05,2,Detractor,3,Waited three weeks for a part. Zero communication from the dealer.,DLR1146,Southwest,US
RSPUS700178,IND100042,1GC730238591801,Dealership,2026-05-19,8,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1085,Southeast,US
RSPUS700179,IND100009,1GC791782742725,Dealership,2026-03-30,8,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1080,Southeast,US
RSPUS700180,IND100027,1GC139423389208,Service,2026-06-20,10,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1010,Northeast,US
RSPUS700181,IND100017,1GC157435530493,Service,2026-06-09,9,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1152,Southeast,US
RSPUS700182,IND100047,1GC359495293536,Dealership,2026-01-12,7,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1073,Midwest,US
RSPUS700183,IND100047,1GC359495293536,Dealership,2026-03-25,7,Passive,5,No complaints about the truck. The app is average.,DLR1153,Southeast,US
RSPUS700184,IND100045,1GC824287921746,Service,2026-01-08,7,Passive,2,Vehicle is fine. Setup took longer than expected but got there.,DLR1029,Midwest,US
RSPUS700185,IND100038,1GC304218414145,Dealership,2026-04-19,4,Detractor,5,Had to replace the connectivity module twice. Nobody explained why.,DLR1193,Midwest,US
