ownership_id,individual_id,vin,ownership_status,ownership_sequence,ownership_start_date,ownership_end_date,purchase_type,dealer_id
OWN500070,IND100070,1GC293126205537,Active,1,2026-02-05,,Finance,DLR1109
OWN500071,IND100071,1GC467675779351,Traded-In,1,2024-08-29,2025-09-27,Finance,DLR1009
OWN500072,IND100072,1GC868062765940,Active,1,2025-09-01,,Purchase,DLR1167
OWN500073,IND100073,1GC310545537278,Active,1,2024-01-04,,Lease,DLR1166
OWN500074,IND100074,1GC152472467520,Active,1,2024-02-25,,Lease,DLR1183
OWN500075,IND100075,1GC353245502819,Active,1,2025-09-26,,Finance,DLR1089
OWN500076,IND100076,1GC364234381989,Active,1,2024-08-19,,Purchase,DLR1062
OWN500077,IND100077,1GC695724863253,Active,1,2024-06-07,,Finance,DLR1192
OWN500078,IND100078,1GC601328937106,Sold,1,2024-04-11,2025-10-16,Finance,DLR1123
OWN500079,IND100079,1GC805508388194,Traded-In,1,2025-11-04,2027-04-01,Finance,DLR1025
OWN500080,IND100080,1GC697882186293,Active,1,2024-08-28,,Finance,DLR1109
OWN500081,IND100081,1GC465748175295,Active,1,2024-06-21,,Lease,DLR1194
OWN500082,IND100082,1GC832618346198,Active,1,2024-12-31,,Lease,DLR1091
OWN500083,IND100083,1GC250275627916,Active,1,2024-06-04,,Purchase,DLR1078
OWN500084,IND100084,1GC120440865820,Active,1,2025-03-30,,Finance,DLR1155
OWN500085,IND100085,1GC181043074697,Active,1,2025-10-30,,Purchase,DLR1122
OWN500086,IND100086,1GC750123415536,Lease Ended,1,2025-11-19,2026-09-17,Purchase,DLR1076
OWN500087,IND100087,1GC515689507225,Traded-In,1,2025-02-16,2026-11-13,Purchase,DLR1195
OWN500088,IND100088,1GC245144601130,Active,1,2025-03-26,,Purchase,DLR1009
OWN500089,IND100089,1GC550940297592,Active,1,2024-04-28,,Finance,DLR1039
OWN500090,IND100090,1GC237080892441,Active,1,2024-07-27,,Purchase,DLR1107
OWN500091,IND100091,1GC726688337569,Active,1,2025-02-09,,Finance,DLR1160
OWN500092,IND100092,1GC501540648016,Active,1,2025-05-14,,Purchase,DLR1189
OWN500093,IND100093,1GC442919103486,Active,1,2025-01-12,,Finance,DLR1045
OWN500094,IND100094,1GC371360880232,Active,1,2025-11-10,,Lease,DLR1075
OWN500095,IND100095,1GC667254333806,Active,1,2024-12-04,,Finance,DLR1036
OWN500096,IND100096,1GC425631349497,Active,1,2024-05-19,,Purchase,DLR1134
OWN500097,IND100097,1GC178884927384,Active,1,2025-09-06,,Finance,DLR1144
OWN500098,IND100098,1GC206205311908,Active,1,2025-09-02,,Lease,DLR1037
OWN500099,IND100099,1GC965707898093,Active,1,2025-02-28,,Lease,DLR1103
OWN500100,IND100100,1GC917722621635,Active,1,2024-08-09,,Lease,DLR1198
OWN500101,IND100101,1GC729736420428,Active,1,2026-01-07,,Lease,DLR1084
OWN500102,IND100102,1GC339282965313,Active,1,2024-07-11,,Purchase,DLR1045
OWN500103,IND100103,1GC972258739611,Active,1,2025-04-23,,Finance,DLR1196
OWN500104,IND100104,1GC800875813568,Active,1,2024-08-14,,Finance,DLR1095
OWN500105,IND100105,1GC745201170242,Sold,1,2025-07-29,2027-01-04,Lease,DLR1091
OWN500106,IND100106,1GC504425351928,Sold,1,2025-05-25,2026-12-31,Purchase,DLR1126
OWN500107,IND100107,1GC345017405660,Active,1,2024-12-13,,Finance,DLR1132
OWN500108,IND100108,1GC186751865938,Active,1,2025-07-17,,Finance,DLR1074
OWN500109,IND100109,1GC912342156888,Active,1,2024-10-22,,Lease,DLR1101
OWN500110,IND100110,1GC510198660849,Active,1,2025-03-01,,Purchase,DLR1043
OWN500111,IND100111,1GC282127028315,Active,1,2024-11-05,,Finance,DLR1039
OWN500112,IND100112,1GC375360961735,Active,1,2024-06-28,,Purchase,DLR1178
OWN500113,IND100113,1GC621297612047,Active,1,2024-03-20,,Purchase,DLR1191
OWN500114,IND100114,1GC259095504645,Active,1,2024-11-12,,Finance,DLR1058
OWN500115,IND100115,1GC870952855682,Active,1,2025-08-05,,Purchase,DLR1152
OWN500116,IND100116,1GC782667576850,Active,1,2025-08-24,,Purchase,DLR1071
OWN500117,IND100117,1GC747516660355,Active,1,2024-11-07,,Purchase,DLR1054
OWN500118,IND100118,1GC488883735797,Active,1,2025-07-19,,Purchase,DLR1110
OWN500119,IND100119,1GC664577956631,Sold,1,2024-12-04,2026-02-17,Finance,DLR1021
OWN500120,IND100120,1GC625688172020,Active,1,2025-10-14,,Finance,DLR1055
OWN500121,IND100121,1GC684861941398,Active,1,2024-07-11,,Purchase,DLR1046
OWN500122,IND100122,1GC175999889025,Active,1,2025-01-08,,Purchase,DLR1181
OWN500123,IND100123,1GC474226661953,Active,1,2025-08-24,,Purchase,DLR1073
OWN500124,IND100124,1GC137452756475,Active,1,2024-04-14,,Purchase,DLR1172
OWN500125,IND100125,1GC544591737319,Active,1,2024-10-22,,Finance,DLR1011
OWN500126,IND100126,1GC396875091099,Active,1,2026-01-14,,Finance,DLR1004
OWN500127,IND100127,1GC230071769979,Lease Ended,1,2025-11-24,2027-02-02,Finance,DLR1122
OWN500128,IND100128,1GC193062670950,Sold,1,2025-10-27,2027-08-12,Lease,DLR1152
OWN500129,IND100129,1GC628880114959,Active,1,2024-03-05,,Lease,DLR1093
OWN500130,IND100130,1GC253533671683,Active,1,2025-01-30,,Lease,DLR1152
OWN500131,IND100131,1GC932608106538,Sold,1,2025-03-17,2027-02-09,Purchase,DLR1021
OWN500132,IND100132,1GC622955025729,Sold,1,2024-06-06,2026-01-23,Finance,DLR1133
OWN500133,IND100133,1GC412182824081,Traded-In,1,2025-11-29,2026-09-05,Lease,DLR1062
OWN500134,IND100134,1GC631823942332,Active,1,2025-08-22,,Finance,DLR1053
OWN500135,IND100135,1GC120523483926,Active,1,2024-12-11,,Purchase,DLR1068
OWN500136,IND100136,1GC962703291916,Active,1,2024-06-21,,Purchase,DLR1033
OWN500137,IND100137,1GC534073093248,Active,1,2025-05-18,,Finance,DLR1189
OWN500138,IND100138,1GC804461704524,Active,1,2024-01-03,,Purchase,DLR1136
OWN500139,IND100139,1GC174456999930,Active,1,2024-06-29,,Finance,DLR1162
OWN500140,IND100140,1GC537992497753,Active,1,2025-09-07,,Finance,DLR1028
OWN500141,IND100141,1GC541636294918,Active,1,2024-12-02,,Finance,DLR1047
OWN500142,IND100142,1GC944043809476,Active,1,2025-03-25,,Lease,DLR1052
OWN500143,IND100143,1GC614555247137,Active,1,2025-07-13,,Finance,DLR1050
OWN500144,IND100144,1GC526140460950,Sold,1,2025-04-08,2026-05-02,Purchase,DLR1135
OWN500145,IND100145,1GC340278096782,Active,1,2024-01-04,,Finance,DLR1176
OWN500146,IND100146,1GC398412097607,Active,1,2024-01-31,,Lease,DLR1145
OWN500147,IND100147,1GC568605162223,Active,1,2025-10-09,,Lease,DLR1067
OWN500148,IND100148,1GC495020314274,Active,1,2025-08-20,,Purchase,DLR1034
OWN500149,IND100149,1GC119450871892,Active,1,2024-06-05,,Lease,DLR1148
OWN500150,IND100000,1GC843662731774,Active,1,2025-11-20,,Finance,DLR1026
OWN500151,IND100001,1GC906544694654,Active,1,2026-02-25,,Lease,DLR1048
OWN500152,IND100002,1GC226224180098,Active,1,2026-01-08,,Finance,DLR1017
OWN500153,IND100003,1GC598632529184,Active,1,2025-08-26,,Lease,DLR1026
OWN500154,IND100004,1GC197718167021,Active,1,2024-06-09,,Lease,DLR1047
OWN500155,IND100005,1GC705016083735,Sold,1,2024-08-19,2025-06-20,Finance,DLR1181
OWN500156,IND100006,1GC353110405454,Active,1,2025-05-24,,Purchase,DLR1053
OWN500157,IND100007,1GC693480371222,Traded-In,1,2024-08-08,2025-05-02,Lease,DLR1185
OWN500158,IND100008,1GC754295152857,Sold,1,2024-06-28,2025-11-26,Purchase,DLR1079
OWN500159,IND100009,1GC791782742725,Active,1,2024-03-09,,Finance,DLR1032
OWN500160,IND100010,1GC196966851360,Traded-In,1,2024-05-08,2025-03-09,Finance,DLR1049
OWN500161,IND100011,1GC924410660622,Active,1,2025-11-09,,Purchase,DLR1171
OWN500162,IND100012,1GC307192591805,Active,1,2025-11-24,,Finance,DLR1107
OWN500163,IND100013,1GC133671300558,Active,1,2025-08-30,,Finance,DLR1031
OWN500164,IND100014,1GC599367222451,Active,1,2026-01-20,,Lease,DLR1011
OWN500165,IND100015,1GC433830055475,Active,1,2025-12-02,,Finance,DLR1009
OWN500166,IND100016,1GC846810768818,Active,1,2025-10-18,,Purchase,DLR1084
OWN500167,IND100017,1GC827426324857,Active,1,2024-04-04,,Lease,DLR1134
OWN500168,IND100018,1GC385425003540,Active,1,2025-02-08,,Lease,DLR1166
OWN500169,IND100019,1GC957609455561,Traded-In,1,2025-09-21,2027-05-13,Finance,DLR1049
OWN500170,IND100020,1GC361826054325,Active,1,2024-08-19,,Purchase,DLR1135
OWN500171,IND100021,1GC563551416308,Lease Ended,1,2024-09-26,2026-05-16,Finance,DLR1162
OWN500172,IND100022,1GC330368581510,Lease Ended,1,2026-01-04,2027-02-04,Finance,DLR1070
OWN500173,IND100023,1GC942439213043,Lease Ended,1,2025-06-11,2026-08-21,Purchase,DLR1119
OWN500174,IND100024,1GC248147035823,Sold,1,2024-11-25,2025-07-31,Finance,DLR1056
OWN500175,IND100025,1GC140419557453,Lease Ended,1,2025-04-25,2026-05-21,Finance,DLR1155
OWN500176,IND100026,1GC491587354002,Active,1,2024-08-29,,Purchase,DLR1047
OWN500177,IND100027,1GC993138007649,Active,1,2025-04-30,,Finance,DLR1189
OWN500178,IND100028,1GC902509539628,Active,1,2024-01-20,,Finance,DLR1064
OWN500179,IND100029,1GC773747217510,Active,1,2025-03-26,,Purchase,DLR1090
