vin,vehicle_mileage,vehicle_segment,body_style,vehicle_category,mileage_asof_date
1GC398412097607,28038,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC568605162223,13472,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC495020314274,26514,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC119450871892,45609,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC843662731774,24208,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC906544694654,6205,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC226224180098,43597,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC598632529184,4962,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC197718167021,19655,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC705016083735,543,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC353110405454,7836,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC693480371222,37368,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC754295152857,72385,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC791782742725,65955,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC196966851360,8851,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC924410660622,3443,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC307192591805,29068,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC133671300558,55615,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC599367222451,63598,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC433830055475,70054,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC846810768818,29416,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC827426324857,14696,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC385425003540,2726,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC957609455561,12909,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC361826054325,6006,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC563551416308,73237,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC330368581510,23180,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC942439213043,70054,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC248147035823,47241,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC140419557453,46040,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC491587354002,38930,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC993138007649,69722,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC902509539628,4171,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC773747217510,8337,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
