case_id,individual_id,vin,case_type,call_driver,channel,case_open_ts,case_close_ts,days_to_close,closed_within_24h,first_contact_resolution,csat_score,region,case_month
CASE900025,IND100000,1GC843662731774,WiFi,No / Slow Internet,Dealer,2026-01-17 11:00:00,2026-01-20 11:00:02.922662,3.0,N,Y,4,Midwest,2026-01-01
CASE900026,IND100041,1GC849410376451,Infotainment,Other,Phone,2026-01-20 17:00:00,2026-01-21 16:31:12.891021,0.98,Y,Y,4,West,2026-01-01
CASE900027,IND100136,1GC962703291916,OnBoarding,BBWC,Dealer,2026-01-27 17:00:00,2026-01-28 11:49:03.005152,0.78,Y,Y,5,West,2026-01-01
CASE900028,IND100108,1GC186751865938,Infotainment,Other,Mobile App,2026-01-20 02:00:00,2026-01-21 18:53:49.944293,1.7,N,Y,5,Northeast,2026-01-01
CASE900029,IND100027,1GC993138007649,OnBoarding,Other,Phone,2026-01-22 18:00:00,2026-01-23 03:06:44.788401,0.38,Y,Y,4,West,2026-01-01
CASE900030,IND100122,1GC175999889025,OnBoarding,BBWC,Phone,2026-01-03 22:00:00,2026-01-04 08:59:05.979462,0.46,Y,Y,3,Southeast,2026-01-01
CASE900031,IND100027,1GC139423389208,WiFi,No / Slow Internet,Chat,2026-01-17 16:00:00,2026-01-18 00:18:15.652223,0.35,Y,Y,3,West,2026-01-01
CASE900032,IND100131,1GC932608106538,Infotainment,App Not Working,Chat,2026-01-15 12:00:00,2026-01-15 23:54:58.378765,0.5,Y,Y,5,Southeast,2026-01-01
CASE900033,IND100009,1GC791782742725,WiFi,Hotspot: SSID and Password,Phone,2026-01-07 20:00:00,2026-01-08 16:54:53.622361,0.87,Y,Y,5,West,2026-01-01
CASE900034,IND100019,1GC957609455561,OnBoarding,Other,Mobile App,2026-01-14 12:00:00,2026-01-17 13:44:44.190145,3.07,N,Y,4,Northeast,2026-01-01
CASE900035,IND100016,1GC846810768818,WiFi,Other,Chat,2026-01-08 23:00:00,2026-01-09 21:08:48.871810,0.92,Y,N,4,Midwest,2026-01-01
CASE900036,IND100029,1GC773747217510,OnBoarding,Enroll Vehicle,Phone,2026-01-04 05:00:00,2026-01-04 19:26:54.248823,0.6,Y,N,4,West,2026-01-01
CASE900037,IND100055,1GC802656127918,OnBoarding,Other,Phone,2026-01-05 01:00:00,2026-01-05 14:45:21.617267,0.57,Y,N,5,Southeast,2026-01-01
CASE900038,IND100028,1GC902509539628,OnBoarding,Enroll Vehicle,Dealer,2026-01-11 02:00:00,2026-01-11 12:36:58.254601,0.44,Y,Y,5,Southeast,2026-01-01
CASE900039,IND100087,1GC515689507225,WiFi,Other,Chat,2026-01-08 01:00:00,2026-01-08 17:28:40.972839,0.69,Y,Y,4,Southwest,2026-01-01
CASE900040,IND100027,1GC993138007649,OnBoarding,Enroll Vehicle,Phone,2026-01-06 10:00:00,2026-01-06 10:28:48.000000,0.02,Y,Y,5,West,2026-01-01
CASE900041,IND100018,1GC385425003540,OnBoarding,Other,Chat,2026-01-11 07:00:00,2026-01-11 17:36:54.299096,0.44,Y,Y,5,West,2026-01-01
CASE900042,IND100001,1GC906544694654,WiFi,No / Slow Internet,Chat,2026-01-09 06:00:00,2026-01-09 08:33:04.892677,0.11,Y,N,4,Northeast,2026-01-01
CASE900043,IND100023,1GC942439213043,OnBoarding,Other,Phone,2026-01-21 21:00:00,2026-01-22 00:23:44.647455,0.14,Y,Y,5,Midwest,2026-01-01
CASE900044,IND100139,1GC174456999930,OnBoarding,Other,Phone,2026-01-12 11:00:00,2026-01-12 13:09:50.211134,0.09,Y,N,4,West,2026-01-01
CASE900045,IND100106,1GC504425351928,WiFi,No / Slow Internet,Phone,2026-01-20 00:00:00,2026-01-21 07:14:14.306937,1.3,N,N,3,Southwest,2026-01-01
CASE900046,IND100049,1GC225777235248,OnBoarding,Enroll Vehicle,Phone,2026-01-07 10:00:00,2026-01-07 22:36:40.094337,0.53,Y,Y,5,Southwest,2026-01-01
CASE900047,IND100004,1GC197718167021,WiFi,Other,Phone,2026-01-14 03:00:00,2026-01-14 22:01:26.602915,0.79,Y,Y,4,Midwest,2026-01-01
CASE900048,IND100044,1GC849033821254,Infotainment,App Not Working,Phone,2026-01-19 09:00:00,2026-01-19 19:33:26.474204,0.44,Y,Y,4,Midwest,2026-01-01
CASE900049,IND100043,1GC381129977243,OnBoarding,Other,Dealer,2026-01-23 14:00:00,2026-01-23 14:28:48.000000,0.02,Y,Y,5,Midwest,2026-01-01
CASE900050,IND100007,1GC693480371222,WiFi,No / Slow Internet,Chat,2026-01-02 01:00:00,2026-01-02 06:09:31.221348,0.21,Y,Y,5,Northeast,2026-01-01
CASE900051,IND100132,1GC622955025729,OnBoarding,BBWC,Phone,2026-01-10 22:00:00,2026-01-12 14:54:07.986839,1.7,N,Y,5,West,2026-01-01
CASE900052,IND100042,1GC730238591801,OnBoarding,Hardware Replacement,Phone,2026-01-21 23:00:00,2026-01-22 09:00:43.316298,0.42,Y,Y,4,Northeast,2026-01-01
CASE900053,IND100076,1GC364234381989,WiFi,No / Slow Internet,Phone,2026-01-12 13:00:00,2026-01-13 07:29:49.932737,0.77,Y,Y,4,Midwest,2026-01-01
CASE900054,IND100008,1GC754295152857,OnBoarding,Other,Mobile App,2026-01-20 17:00:00,2026-01-22 04:52:52.438139,1.5,N,N,5,Southeast,2026-01-01
CASE900055,IND100006,1GC353110405454,OnBoarding,BBWC,Mobile App,2026-01-12 19:00:00,2026-01-15 16:46:49.614475,2.91,N,Y,3,Southeast,2026-01-01
CASE900056,IND100130,1GC253533671683,OnBoarding,Enroll Vehicle,Mobile App,2026-01-23 18:00:00,2026-01-25 02:09:52.364670,1.34,N,N,3,West,2026-01-01
CASE900057,IND100143,1GC614555247137,Infotainment,App Not Working,IVR,2026-01-13 13:00:00,2026-01-14 04:22:50.391899,0.64,Y,Y,5,Northeast,2026-01-01
CASE900058,IND100142,1GC944043809476,OnBoarding,Other,Chat,2026-01-12 15:00:00,2026-01-13 02:55:12.926695,0.5,Y,Y,3,Northeast,2026-01-01
CASE900059,IND100038,1GC304218414145,WiFi,No / Slow Internet,Phone,2026-01-24 21:00:00,2026-01-24 22:06:15.002012,0.05,Y,Y,3,Southwest,2026-01-01
CASE900060,IND100113,1GC621297612047,OnBoarding,Enroll Vehicle,IVR,2026-01-13 08:00:00,2026-01-14 01:05:25.084185,0.71,Y,Y,2,Southeast,2026-01-01
CASE900061,IND100061,1GC523986585528,WiFi,No / Slow Internet,Mobile App,2026-01-11 02:00:00,2026-01-11 05:38:06.204585,0.15,Y,Y,3,West,2026-01-01
CASE900062,IND100052,1GC808231939751,OnBoarding,Other,Dealer,2026-01-18 15:00:00,2026-01-19 06:54:29.390743,0.66,Y,N,5,Southeast,2026-01-01
CASE900063,IND100019,1GC957609455561,OnBoarding,Other,Phone,2026-01-17 01:00:00,2026-01-18 14:45:52.914234,1.57,N,N,3,Northeast,2026-01-01
CASE900064,IND100064,1GC671246487999,WiFi,No / Slow Internet,Phone,2026-01-15 16:00:00,2026-01-16 23:36:55.241313,1.32,N,Y,3,Midwest,2026-01-01
CASE900065,IND100017,1GC827426324857,WiFi,Hotspot: SSID and Password,Mobile App,2026-01-01 00:00:00,2026-01-01 07:09:28.985151,0.3,Y,Y,5,Southwest,2026-01-01
CASE900066,IND100002,1GC872738127919,OnBoarding,Enroll Vehicle,Phone,2026-01-08 03:00:00,2026-01-08 06:07:17.031334,0.13,Y,Y,5,Northeast,2026-01-01
CASE900067,IND100002,1GC872738127919,OnBoarding,Other,Chat,2026-01-22 15:00:00,2026-01-24 04:26:20.765229,1.56,N,Y,5,Northeast,2026-01-01
CASE900068,IND100129,1GC628880114959,WiFi,No / Slow Internet,Mobile App,2026-01-12 07:00:00,2026-01-12 15:52:36.180033,0.37,Y,N,4,Northeast,2026-01-01
CASE900069,IND100070,1GC293126205537,OnBoarding,Other,Chat,2026-01-03 12:00:00,2026-01-03 12:34:22.557526,0.02,Y,Y,3,Northeast,2026-01-01
CASE900070,IND100114,1GC259095504645,Infotainment,App Not Working,Chat,2026-01-17 14:00:00,2026-01-17 21:39:42.428139,0.32,Y,Y,3,Southeast,2026-01-01
CASE900071,IND100085,1GC181043074697,OnBoarding,Enroll Vehicle,Mobile App,2026-01-27 00:00:00,2026-01-30 09:18:59.025564,3.39,N,Y,4,Northeast,2026-01-01
CASE900072,IND100007,1GC807457874748,OnBoarding,Other,Phone,2026-01-26 21:00:00,2026-01-28 10:18:32.790398,1.55,N,Y,5,Northeast,2026-01-01
CASE900073,IND100091,1GC726688337569,WiFi,Hotspot: SSID and Password,Phone,2026-01-26 08:00:00,2026-01-26 19:02:03.916406,0.46,Y,N,5,Southwest,2026-01-01
CASE900074,IND100078,1GC601328937106,OnBoarding,Other,Phone,2026-01-03 00:00:00,2026-01-03 00:42:58.539244,0.03,Y,N,3,West,2026-01-01
CASE900075,IND100084,1GC120440865820,OnBoarding,BBWC,Phone,2026-01-01 06:00:00,2026-01-02 15:33:56.840635,1.4,N,Y,5,Northeast,2026-01-01
CASE900076,IND100104,1GC800875813568,WiFi,Other,Phone,2026-01-27 15:00:00,2026-01-27 15:28:48.000000,0.02,Y,Y,5,Southeast,2026-01-01
CASE900077,IND100074,1GC152472467520,Infotainment,Other,Phone,2026-01-13 17:00:00,2026-01-15 22:18:25.603377,2.22,N,N,3,Southwest,2026-01-01
CASE900078,IND100075,1GC353245502819,Infotainment,On Screen Messages,Chat,2026-01-07 12:00:00,2026-01-08 11:13:18.157783,0.97,Y,N,1,Northeast,2026-01-01
CASE900079,IND100025,1GC275174837066,WiFi,No / Slow Internet,Phone,2026-01-02 09:00:00,2026-01-02 21:29:54.282701,0.52,Y,N,4,Southwest,2026-01-01
CASE900080,IND100018,1GC844868054792,OnBoarding,Other,Chat,2026-01-11 12:00:00,2026-01-12 13:31:50.929045,1.06,N,N,4,West,2026-01-01
CASE900081,IND100120,1GC625688172020,OnBoarding,BBWC,Phone,2026-01-22 20:00:00,2026-01-23 01:09:55.597397,0.22,Y,Y,5,Northeast,2026-01-01
CASE900082,IND100139,1GC174456999930,OnBoarding,Enroll Vehicle,IVR,2026-01-12 11:00:00,2026-01-12 23:40:13.636263,0.53,Y,Y,5,West,2026-01-01
CASE900083,IND100039,1GC702832595213,OnBoarding,Other,Chat,2026-01-21 19:00:00,2026-01-22 01:48:57.008157,0.28,Y,Y,4,West,2026-01-01
CASE900084,IND100109,1GC912342156888,WiFi,Hotspot: SSID and Password,Chat,2026-01-14 01:00:00,2026-01-14 07:57:07.863755,0.29,Y,Y,3,Northeast,2026-01-01
CASE900085,IND100047,1GC359495293536,WiFi,No / Slow Internet,Dealer,2026-01-23 04:00:00,2026-01-25 14:52:00.587464,2.45,N,Y,3,West,2026-01-01
CASE900086,IND100004,1GC197718167021,Infotainment,Other,Mobile App,2026-01-08 02:00:00,2026-01-09 09:34:33.050727,1.32,N,Y,2,Midwest,2026-01-01
CASE900087,IND100076,1GC364234381989,Infotainment,App Not Working,Phone,2026-01-04 22:00:00,2026-01-05 05:31:31.394447,0.31,Y,Y,3,Midwest,2026-01-01
CASE900088,IND100017,1GC827426324857,WiFi,No / Slow Internet,Chat,2026-01-10 08:00:00,2026-01-14 05:32:49.411926,3.9,N,Y,3,Southwest,2026-01-01
CASE900089,IND100016,1GC599126308313,WiFi,No / Slow Internet,Phone,2026-01-27 12:00:00,2026-01-28 02:42:21.172477,0.61,Y,Y,4,Midwest,2026-01-01
CASE900090,IND100024,1GC248147035823,OnBoarding,Other,Phone,2026-01-18 08:00:00,2026-01-19 06:08:07.984467,0.92,Y,Y,3,Midwest,2026-01-01
CASE900091,IND100015,1GC304514849606,WiFi,No / Slow Internet,Phone,2026-01-04 11:00:00,2026-01-06 08:40:31.866573,1.9,N,Y,3,Midwest,2026-01-01
CASE900092,IND100120,1GC625688172020,WiFi,No / Slow Internet,Mobile App,2026-01-03 20:00:00,2026-01-04 14:48:59.358260,0.78,Y,Y,5,Northeast,2026-01-01
CASE900093,IND100081,1GC465748175295,WiFi,No / Slow Internet,Phone,2026-01-09 12:00:00,2026-01-09 15:41:35.207188,0.15,Y,Y,3,West,2026-01-01
CASE900094,IND100029,1GC773747217510,WiFi,Hotspot: SSID and Password,Chat,2026-01-05 04:00:00,2026-01-05 07:33:12.313214,0.15,Y,Y,5,West,2026-01-01
CASE900095,IND100017,1GC827426324857,WiFi,No / Slow Internet,Phone,2026-01-09 17:00:00,2026-01-10 16:39:00.419049,0.99,Y,N,4,Southwest,2026-01-01
CASE900096,IND100078,1GC601328937106,Infotainment,Other,Chat,2026-01-18 16:00:00,2026-01-19 23:21:13.658726,1.31,N,Y,4,West,2026-01-01
CASE900097,IND100119,1GC664577956631,OnBoarding,Enroll Vehicle,Dealer,2026-01-22 02:00:00,2026-01-22 17:35:57.907920,0.65,Y,Y,5,Midwest,2026-01-01
CASE900098,IND100092,1GC501540648016,OnBoarding,BBWC,Phone,2026-01-21 16:00:00,2026-01-22 08:36:38.662278,0.69,Y,Y,4,West,2026-01-01
CASE900099,IND100024,1GC800545147365,OnBoarding,Other,Chat,2026-01-12 22:00:00,2026-01-15 01:01:02.391426,2.13,N,N,5,Midwest,2026-01-01
CASE900100,IND100055,1GC802656127918,WiFi,Other,Mobile App,2026-01-26 02:00:00,2026-01-26 16:44:48.324746,0.61,Y,Y,3,Southeast,2026-01-01
CASE900101,IND100071,1GC467675779351,WiFi,Hotspot: SSID and Password,Dealer,2026-01-04 18:00:00,2026-01-05 04:32:06.070398,0.44,Y,Y,4,Southeast,2026-01-01
CASE900102,IND100108,1GC186751865938,OnBoarding,BBWC,Mobile App,2026-01-12 23:00:00,2026-01-13 00:52:55.910026,0.08,Y,Y,3,Northeast,2026-01-01
CASE900103,IND100031,1GC970758759189,OnBoarding,Other,Phone,2026-01-05 08:00:00,2026-01-06 04:03:16.975928,0.84,Y,Y,3,Southwest,2026-01-01
CASE900104,IND100004,1GC184759613098,OnBoarding,Enroll Vehicle,Mobile App,2026-01-17 03:00:00,2026-01-17 06:01:56.891781,0.13,Y,N,3,Midwest,2026-01-01
CASE900105,IND100013,1GC840485451942,WiFi,Hotspot: SSID and Password,Mobile App,2026-01-06 07:00:00,2026-01-06 19:07:40.187103,0.51,Y,N,4,Northeast,2026-01-01
CASE900106,IND100079,1GC805508388194,OnBoarding,Hardware Replacement,Mobile App,2026-01-16 11:00:00,2026-01-17 08:20:32.734394,0.89,Y,N,4,Midwest,2026-01-01
CASE900107,IND100055,1GC802656127918,OnBoarding,Other,Chat,2026-01-09 07:00:00,2026-01-11 14:02:20.294993,2.29,N,N,4,Southeast,2026-01-01
CASE900108,IND100063,1GC788498971673,OnBoarding,Other,Mobile App,2026-01-24 23:00:00,2026-01-25 13:28:06.894973,0.6,Y,N,4,Midwest,2026-01-01
CASE900109,IND100057,1GC611867076357,Infotainment,On Screen Messages,Mobile App,2026-01-17 03:00:00,2026-01-21 04:27:18.244689,4.06,N,N,5,Northeast,2026-01-01
CASE900110,IND100009,1GC505347344105,OnBoarding,Hardware Replacement,Chat,2026-01-12 03:00:00,2026-01-12 14:37:31.030015,0.48,Y,N,3,West,2026-01-01
CASE900111,IND100091,1GC726688337569,OnBoarding,Hardware Replacement,Phone,2026-01-18 09:00:00,2026-01-19 03:31:06.922198,0.77,Y,Y,4,Southwest,2026-01-01
CASE900112,IND100017,1GC157435530493,WiFi,No / Slow Internet,Chat,2026-01-19 18:00:00,2026-01-20 03:23:32.051016,0.39,Y,Y,5,Southwest,2026-01-01
CASE900113,IND100078,1GC601328937106,OnBoarding,BBWC,Phone,2026-01-02 00:00:00,2026-01-02 03:43:27.746570,0.16,Y,Y,5,West,2026-01-01
CASE900114,IND100056,1GC513024197984,Infotainment,App Not Working,Phone,2026-01-11 03:00:00,2026-01-11 16:47:14.430840,0.57,Y,Y,5,Southwest,2026-01-01
CASE900115,IND100114,1GC259095504645,Infotainment,DIC (Driver Information Center),Chat,2026-01-06 16:00:00,2026-01-08 03:23:15.169668,1.47,N,Y,5,Southeast,2026-01-01
CASE900116,IND100122,1GC175999889025,OnBoarding,Other,Chat,2026-01-25 04:00:00,2026-01-25 07:46:49.524769,0.16,Y,N,5,Southeast,2026-01-01
CASE900117,IND100130,1GC253533671683,WiFi,No / Slow Internet,Phone,2026-01-25 03:00:00,2026-01-25 04:07:07.624108,0.05,Y,N,5,West,2026-01-01
CASE900118,IND100012,1GC307192591805,Infotainment,Other,Phone,2026-01-08 23:00:00,2026-01-09 03:16:13.662946,0.18,Y,Y,4,Southeast,2026-01-01
CASE900119,IND100093,1GC442919103486,OnBoarding,Other,Mobile App,2026-01-23 02:00:00,2026-01-24 17:46:48.608867,1.66,N,Y,5,Northeast,2026-01-01
CASE900120,IND100134,1GC631823942332,OnBoarding,BBWC,Phone,2026-01-06 18:00:00,2026-01-07 22:26:20.748411,1.18,N,Y,3,Southeast,2026-01-01
CASE900121,IND100125,1GC544591737319,OnBoarding,Other,Phone,2026-01-10 01:00:00,2026-01-11 06:40:48.762313,1.24,N,Y,5,Southeast,2026-01-01
CASE900122,IND100148,1GC495020314274,WiFi,No / Slow Internet,Chat,2026-01-06 13:00:00,2026-01-07 12:26:18.540766,0.98,Y,Y,3,Southwest,2026-01-01
CASE900123,IND100007,1GC693480371222,WiFi,No / Slow Internet,Phone,2026-01-13 17:00:00,2026-01-15 16:56:32.662305,2.0,N,Y,5,Northeast,2026-01-01
CASE900124,IND100114,1GC259095504645,OnBoarding,Other,Mobile App,2026-01-22 23:00:00,2026-01-24 01:23:06.089826,1.1,N,Y,2,Southeast,2026-01-01
CASE900125,IND100149,1GC119450871892,WiFi,No / Slow Internet,Phone,2026-01-27 04:00:00,2026-01-28 09:58:00.563121,1.25,N,Y,4,West,2026-01-01
CASE900126,IND100121,1GC684861941398,Infotainment,Other,Phone,2026-01-02 20:00:00,2026-01-04 21:37:22.848153,2.07,N,N,4,Midwest,2026-01-01
CASE900127,IND100005,1GC978060116472,WiFi,No / Slow Internet,Chat,2026-01-14 19:00:00,2026-01-18 04:13:39.233091,3.38,N,N,5,West,2026-01-01
CASE900128,IND100091,1GC726688337569,OnBoarding,Other,Phone,2026-01-27 11:00:00,2026-01-28 12:57:06.638946,1.08,N,Y,4,Southwest,2026-01-01
CASE900129,IND100086,1GC750123415536,Infotainment,App Not Working,Phone,2026-01-25 06:00:00,2026-01-25 13:18:32.891678,0.3,Y,Y,4,Midwest,2026-01-01
CASE900130,IND100018,1GC385425003540,Infotainment,Other,Chat,2026-01-05 21:00:00,2026-01-06 15:06:15.801530,0.75,Y,Y,5,West,2026-01-01
CASE900131,IND100013,1GC133671300558,WiFi,No / Slow Internet,Chat,2026-01-21 14:00:00,2026-01-22 16:39:19.130289,1.11,N,Y,4,Northeast,2026-01-01
CASE900132,IND100147,1GC568605162223,OnBoarding,Enroll Vehicle,Chat,2026-01-13 06:00:00,2026-01-13 07:42:33.645861,0.07,Y,Y,4,West,2026-01-01
CASE900133,IND100128,1GC193062670950,OnBoarding,Enroll Vehicle,Dealer,2026-01-01 12:00:00,2026-01-02 06:57:17.438082,0.79,Y,Y,5,West,2026-01-01
CASE900134,IND100146,1GC398412097607,Infotainment,Other,Chat,2026-01-22 00:00:00,2026-01-22 13:41:14.141414,0.57,Y,Y,3,Southeast,2026-01-01
CASE900135,IND100003,1GC598632529184,WiFi,Hotspot: Data Not Shared / Disabled,Dealer,2026-01-25 13:00:00,2026-01-25 13:28:48.000000,0.02,Y,N,5,Southwest,2026-01-01
CASE900136,IND100058,1GC225817298314,Infotainment,App Not Working,Phone,2026-01-02 21:00:00,2026-01-03 17:56:03.726891,0.87,Y,Y,4,Midwest,2026-01-01
CASE900137,IND100085,1GC181043074697,Infotainment,On Screen Messages,Phone,2026-01-25 03:00:00,2026-01-25 04:34:12.266663,0.07,Y,N,3,Northeast,2026-01-01
CASE900138,IND100081,1GC465748175295,OnBoarding,Enroll Vehicle,Phone,2026-01-24 17:00:00,2026-01-25 10:39:14.036050,0.74,Y,Y,4,West,2026-01-01
CASE900139,IND100093,1GC442919103486,Infotainment,App Not Working,Chat,2026-01-07 16:00:00,2026-01-11 05:11:51.876625,3.55,N,N,5,Northeast,2026-01-01
CASE900140,IND100017,1GC827426324857,OnBoarding,Enroll Vehicle,Chat,2026-01-18 21:00:00,2026-01-20 07:13:07.247104,1.43,N,Y,4,Southwest,2026-01-01
CASE900141,IND100026,1GC491587354002,OnBoarding,Other,Phone,2026-01-01 06:00:00,2026-01-01 06:44:44.486933,0.03,Y,Y,4,Northeast,2026-01-01
CASE900142,IND100131,1GC932608106538,OnBoarding,Other,Phone,2026-01-06 17:00:00,2026-01-06 18:11:12.730000,0.05,Y,Y,5,Southeast,2026-01-01
CASE900143,IND100011,1GC924410660622,Infotainment,App Not Working,Mobile App,2026-01-14 21:00:00,2026-01-15 11:33:35.987819,0.61,Y,Y,3,Northeast,2026-01-01
CASE900144,IND100047,1GC359495293536,OnBoarding,BBWC,Phone,2026-01-15 05:00:00,2026-01-16 18:30:42.984689,1.56,N,N,5,West,2026-01-01
CASE900145,IND100117,1GC747516660355,OnBoarding,Hardware Replacement,Phone,2026-01-19 19:00:00,2026-01-21 01:58:59.188606,1.29,N,Y,3,Midwest,2026-01-01
CASE900146,IND100085,1GC181043074697,Infotainment,App Not Working,Phone,2026-01-11 08:00:00,2026-01-11 08:34:58.484999,0.02,Y,N,4,Northeast,2026-01-01
CASE900147,IND100007,1GC693480371222,WiFi,No / Slow Internet,Phone,2026-01-26 18:00:00,2026-01-27 15:05:04.054483,0.88,Y,Y,5,Northeast,2026-01-01
CASE900148,IND100092,1GC501540648016,WiFi,No / Slow Internet,Phone,2026-01-17 05:00:00,2026-01-18 09:13:32.564755,1.18,N,Y,3,West,2026-01-01
CASE900149,IND100041,1GC849410376451,WiFi,Hotspot: Data Not Shared / Disabled,Phone,2026-01-26 07:00:00,2026-01-27 06:57:12.081406,1.0,Y,Y,3,West,2026-01-01
CASE900150,IND100069,1GC493045650308,Infotainment,App Not Working,Phone,2026-01-07 07:00:00,2026-01-07 23:27:40.902274,0.69,Y,N,4,Southeast,2026-01-01
CASE900151,IND100053,1GC698365770932,WiFi,No / Slow Internet,Chat,2026-01-25 10:00:00,2026-01-25 16:29:30.840659,0.27,Y,Y,3,Northeast,2026-01-01
CASE900152,IND100108,1GC186751865938,Infotainment,App Not Working,Phone,2026-01-18 21:00:00,2026-01-19 04:19:28.276862,0.31,Y,Y,3,Northeast,2026-01-01
CASE900153,IND100118,1GC488883735797,Infotainment,App Not Working,IVR,2026-01-20 10:00:00,2026-01-20 22:24:36.373692,0.52,Y,Y,4,West,2026-01-01
CASE900154,IND100065,1GC598221460591,WiFi,Other,Phone,2026-01-18 23:00:00,2026-01-19 08:00:57.850510,0.38,Y,Y,5,Southeast,2026-01-01
CASE900155,IND100028,1GC902509539628,OnBoarding,Enroll Vehicle,Dealer,2026-01-04 15:00:00,2026-01-04 21:53:46.049581,0.29,Y,N,3,Southeast,2026-01-01
CASE900156,IND100006,1GC353110405454,OnBoarding,Enroll Vehicle,Mobile App,2026-01-22 17:00:00,2026-01-24 06:28:25.946015,1.56,N,Y,5,Southeast,2026-01-01
