individual_id,customer_age_group,age_range,household_income_band,is_current_customer,state
IND100085,55-64,55-64,100K-150K,Y,NY
IND100086,45-54,45-54,75K-100K,Y,OH
IND100087,55-64,55-64,100K-150K,Y,TX
IND100088,65+,65+,75K-100K,Y,AZ
IND100089,25-34,25-34,100K-150K,Y,CO
IND100090,25-34,25-34,50K-75K,Y,AZ
IND100091,35-44,35-44,100K-150K,Y,AZ
IND100092,35-44,35-44,50K-75K,Y,WA
IND100093,25-34,25-34,150K+,Y,NY
IND100094,55-64,55-64,<50K,Y,GA
IND100095,25-34,25-34,100K-150K,Y,MI
IND100096,35-44,35-44,100K-150K,Y,MA
IND100097,45-54,45-54,150K+,Y,NM
IND100098,35-44,35-44,100K-150K,Y,TX
IND100099,25-34,25-34,150K+,Y,WA
IND100100,65+,65+,100K-150K,Y,IL
IND100101,45-54,45-54,50K-75K,Y,GA
IND100102,55-64,55-64,100K-150K,Y,CA
IND100103,35-44,35-44,75K-100K,Y,WA
IND100104,45-54,45-54,100K-150K,Y,NC
IND100105,55-64,55-64,100K-150K,Y,GA
IND100106,55-64,55-64,50K-75K,Y,NM
IND100107,45-54,45-54,<50K,Y,WA
IND100108,55-64,55-64,75K-100K,Y,MA
IND100109,45-54,45-54,50K-75K,Y,MA
IND100110,35-44,35-44,100K-150K,Y,CO
IND100111,35-44,35-44,<50K,Y,FL
IND100112,55-64,55-64,75K-100K,Y,MI
IND100113,45-54,45-54,75K-100K,Y,FL
IND100114,55-64,55-64,75K-100K,Y,GA
IND100115,55-64,55-64,150K+,Y,OH
IND100116,55-64,55-64,75K-100K,Y,GA
IND100117,55-64,55-64,75K-100K,Y,IL
IND100118,45-54,45-54,75K-100K,Y,WA
IND100119,35-44,35-44,50K-75K,Y,MI
IND100120,45-54,45-54,50K-75K,Y,NY
IND100121,45-54,45-54,100K-150K,Y,IL
IND100122,65+,65+,<50K,Y,NC
IND100123,45-54,45-54,75K-100K,Y,WA
IND100124,25-34,25-34,50K-75K,Y,IL
IND100125,25-34,25-34,50K-75K,Y,FL
IND100126,35-44,35-44,75K-100K,Y,MI
IND100127,45-54,45-54,<50K,Y,CA
IND100128,35-44,35-44,<50K,Y,CA
IND100129,45-54,45-54,75K-100K,Y,MA
IND100130,45-54,45-54,50K-75K,Y,WA
IND100131,25-34,25-34,150K+,Y,GA
IND100132,25-34,25-34,50K-75K,Y,CO
IND100133,35-44,35-44,150K+,Y,WA
IND100134,45-54,45-54,100K-150K,Y,FL
IND100135,65+,65+,<50K,Y,NC
IND100136,65+,65+,50K-75K,Y,CO
IND100137,45-54,45-54,75K-100K,Y,CA
IND100138,45-54,45-54,150K+,Y,OH
IND100139,35-44,35-44,150K+,Y,CO
IND100140,45-54,45-54,100K-150K,Y,PA
IND100141,65+,65+,<50K,Y,NY
IND100142,65+,65+,100K-150K,Y,PA
IND100143,55-64,55-64,50K-75K,Y,MA
IND100144,45-54,45-54,100K-150K,Y,CO
IND100145,45-54,45-54,50K-75K,Y,OH
IND100146,35-44,35-44,150K+,Y,NC
IND100147,25-34,25-34,100K-150K,Y,WA
IND100148,65+,65+,<50K,Y,NM
IND100149,35-44,35-44,100K-150K,Y,CO
